Agency_Name,Agency_Code,Program_Name,Program_Code,Tag,Data_File_Name,Data_File_Location,Status,Lat,Lon,Time_Zone,Vertical_Datum,Station_ID,Site_Description,Deployment,Deployment_Position,Vertical_Reference,Site_Mean_Depth,Bad_Data_Code,Email,Variable_ID,DataCategory,Sampling_Rate,Date_Format,Depth_Format,Variable_Name,QC_Code,X,Y,calc_SMD,mAHD
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142837_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.163896,115.762013,GMT +8,mAHD,6142837,6142837,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,383270.030788373,6440726.04041757,11.0729,-11.0729
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142842_Cloud_Cover_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.153402,115.75522,GMT +8,mAHD,6142842,6142842,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,382616.019399092,6441881.98094736,10.7931,-10.7931
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142843_Cloud_Cover_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.155803,115.752674,GMT +8,mAHD,6142843,6142843,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,382378.996858358,6441613.03474572,10.2783,-10.2783
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142970_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.154551,115.693841,GMT +8,mAHD,6142970,6142970,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,376829.037028266,6441686.0166181,21.3088,-21.3088
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142971_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.152366,115.720158,GMT +8,mAHD,6142971,6142971,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,379308.035761284,6441958.05295309,19.3144,-19.3144
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142972_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.14648,115.756724,GMT +8,mAHD,6142972,6142972,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,382748.995854093,6442650.96876451,10.8501,-10.8501
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142973_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.170703,115.762483,GMT +8,mAHD,6142973,6142973,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,383323.028708968,6439971.9488091,11.1732,-11.1732
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142974_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.197565,115.719833,GMT +8,mAHD,6142974,6142974,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,379337.011375969,6436947.03622679,20.3222,-20.3222
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142975_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.209851,115.759566,GMT +8,mAHD,6142975,6142975,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,383098.047392146,6435628.94743049,12.4997,-12.4997
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142976_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.238934,115.751412,GMT +8,mAHD,6142976,6142976,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,382367.009641208,6432395.97022475,16.8257,-16.8257
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142977_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.2565,115.740864,GMT +8,mAHD,6142977,6142977,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,381396.021917168,6430437.02747939,17.6492,-17.6492
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142978_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.262401,115.714178,GMT +8,mAHD,6142978,6142978,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,378889.997549596,6429753.04576258,18.1561,-18.1561
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142979_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.254165,115.684285,GMT +8,mAHD,6142979,6142979,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,376063.007654797,6430631.95633161,7.9017,-7.9017
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142980_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.229518,115.697969,GMT +8,mAHD,6142980,6142980,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,377318.970886774,6433380.01967024,12.0351,-12.0351
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142983_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.248232,115.712531,GMT +8,mAHD,6142983,6142983,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,378716.016929595,6431321.94791973,3.2126,-3.2126
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142984_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.182803,115.73909,GMT +8,mAHD,6142984,6142984,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,381133.032338538,6438604.96608735,10.2600,-10.2600
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142985_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.308838,115.708785,GMT +8,mAHD,6142985,6142985,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,378443.979063265,6424598.95711137,2.9904,-2.9904
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142986_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.336946,115.722167,GMT +8,mAHD,6142986,6142986,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,379741.026788786,6421498.00305798,17.2342,-17.2342
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142988_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.215297,115.696612,GMT +8,mAHD,6142988,6142988,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,377171.974988112,6434954.9922082,7.7071,-7.7071
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142989_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.198595,115.684831,GMT +8,mAHD,6142989,6142989,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,376039.022507569,6436793.02770308,6.1499,-6.1499
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6144466_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.197784,115.765882,GMT +8,mAHD,6144466,6144466,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,383677.966869684,6436973.51445628,10.4978,-10.4978
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6147030_Cloud_Cover_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.156587,115.70274,GMT +8,mAHD,6147030,6147030,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,377670.99702873,6441470.45975973,22.2603,-22.2603
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6147031_Cloud_Cover_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.250787,115.728332,GMT +8,mAHD,6147031,6147031,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,380207.986993947,6431056.44600565,19.1526,-19.1526
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMOORING,DWER-CSMOORING,D:\csiem\data-warehouse\csv\dwer\csmooring\dwermooring6147033_Air_Temperature_DATA.csv,data-warehouse/csv/dwer/csmooring_v2,Inactive,-32.27286493,115.7026804,GMT +8,mAHD,6147033,Mangles Bay,Fixed,0.5m from Surface,m from Surface,,NaN,,var00153,Meteorology,6.7028,yyyy-mm-dd HH:MM:SS,Decimal,Air Temperature (C),String,377820.997899946,6428579.98590966,1.0477,-1.0477
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6147034_Cloud_Cover_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.262388,115.714189,GMT +8,mAHD,6147034,6147034,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,378891.016434441,6429754.49934613,18.1561,-18.1561
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6147035_Cloud_Cover_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.200106,115.740665,GMT +8,mAHD,6147035,6147035,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,381303.98387406,6436688.53883939,16.6408,-16.6408
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6160118_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-31.878075,115.992278,GMT +8,mAHD,6160118,6160118,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,404687.338728921,6472635.95937123,-3.0000,3.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6160119_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-31.868417,115.998983,GMT +8,mAHD,6160119,6160119,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,405311.664403834,6473712.39904775,-4.0000,4.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6160121_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Inactive,-31.891316,115.975159,GMT +8,mAHD,6160121,6160121,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,403081.976867077,6471153.04695189,-3.0000,3.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6160258_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-32.017126,115.784129,GMT +8,mAHD,6160258,6160258,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,385172.034745728,6457020.0050583,15.0628,-15.0628
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6160259_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-32.007069,115.80895,GMT +8,mAHD,6160259,6160259,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,387504.01620765,6458160.96557311,11.3607,-11.3607
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6160262_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-31.963657,115.84878,GMT +8,mAHD,6160262,6160262,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,391215.006143532,6463014.04142155,0.0000,0.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6160263_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-31.954845,115.885341,GMT +8,mAHD,6160263,6160263,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,394659.988536357,6464027.03198377,0.0000,0.0000
Department of Water and Environmental Regulation,DWER,Estuary,CANEST,DWER-CANEST,s6160487_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/canest,Inactive,-32.023285,115.884958,GMT +8,mAHD,6160487,6160487,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,394702.017679055,6456439.97946043,-3.0000,3.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6160764_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-31.939807,115.908173,GMT +8,mAHD,6160764,6160764,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,396801.015964624,6465715.9941151,-4.0000,4.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6160930_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-31.887654,115.979641,GMT +8,mAHD,6160930,6160930,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,403502.035036109,6471562.97083661,-3.0000,3.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6161086_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-31.864404,116.009083,GMT +8,mAHD,6161086,6161086,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,406263.025680482,6474165.99956191,-4.0000,4.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6161821_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/swanest,Inactive,-31.912582,115.961026,GMT +8,mAHD,6161821,6161821,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,401767.963236232,6468783.01619385,-4.0000,4.0000
Department of Water and Environmental Regulation,DWER,Estuary,CANEST,DWER-CANEST,s6161836_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/canest,Active,-32.0297,115.9421,GMT +8,mAHD,6161836,6161836,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,400105.412218013,6455783.13706407,-7.0000,7.0000
Department of Water and Environmental Regulation,DWER,Estuary,CANEST,DWER-CANEST,s6161837_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/canest,Inactive,-32.027504,115.901182,GMT +8,mAHD,6161837,6161837,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,396238.95683282,6455987.99371263,-5.0000,5.0000
Department of Water and Environmental Regulation,DWER,Estuary,CANEST,DWER-CANEST,s6161838_Cloud_Cover_Floating_DATA.csv,data-warehouse/csv/dwer/canest,Inactive,-32.030813,115.872233,GMT +8,mAHD,6161838,6161838,Floating,0.5m from Surface,m from Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,393508.987713267,6455593.00881455,-3.0000,3.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6161854_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-31.887859,115.989546,GMT +8,mAHD,6161854,6161854,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,404439.031449482,6471549.01791872,-4.0000,4.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6161869_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-31.994892,115.835349,GMT +8,mAHD,6161869,6161869,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,389983.041608281,6459537.99107257,6.2923,-6.2923
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6161870_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-31.951372,115.9134,GMT +8,mAHD,6161870,6161870,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,397307.961575045,6464438.97945717,-1.0000,1.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6161878_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-31.921404,115.940132,GMT +8,mAHD,6161878,6161878,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,399801.96068701,6467785.97247749,-1.0000,1.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6161879_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-31.89844,115.95925,GMT +8,mAHD,6161879,6161879,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,401584.987920685,6470349.03061466,-2.0000,2.0000
Department of Water and Environmental Regulation,DWER,Estuary,CANEST,DWER-CANEST,s6161892_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/canest,Inactive,-32.019964,115.927744,GMT +8,mAHD,6161892,6161892,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,398739.033577859,6456849.01983739,-6.0000,6.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6162045_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-31.904373,115.963213,GMT +8,mAHD,6162045,6162045,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,401966.043605378,6469694.95535506,-2.0000,2.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANEST,DWER-SWANEST,s6162300_Cloud_Cover_Profile_DATA.csv,data-warehouse/csv/dwer/swanest,Active,-31.900481,115.961691,GMT +8,mAHD,6162300,6162300,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00133,Meteorology, ,yyyy-mm-dd HH:MM:SS,Decimal,Cloud Cover (%),String,401817.990881847,6470125.00152736,-2.0000,2.0000
