Sheet 1                           	Sheet 2                         	Sheet 3                         	Sheet 4                           	Sheet 5                           	Sheet 6                           	Sheet 7                         	Sheet 8                           	Sheet 9                           	Sheet 10                          	Sheet 11                          	Sheet 12                          	Sheet 13                          	Sheet 14                          	Sheet 15                          	Sheet 16                          	Sheet 17                          	Sheet 18                          	Sheet 19                          	Sheet 20                          	Sheet 21                          	Sheet 22                          	Sheet 23                          	Sheet 24                          	If all Sheets Match
Fibrocapsa                        	Fibrocapsa                      	Fibrocapsa                      	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                      	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	Fibrocapsa                        	                  1
Heterosigma akashiwo              	Heterosigma akashiwo            	Heterosigma akashiwo            	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo            	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	Heterosigma akashiwo              	                  1
Cricosphaera                      	Cricosphaera                    	Cricosphaera                    	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                    	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	Cricosphaera                      	                  1
Prymnesium                        	Prymnesium                      	Prymnesium                      	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                      	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                        	Prymnesium                        	                  1
Anabaenopsis                      	Anabaenopsis                    	Anabaenopsis                    	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                    	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	Anabaenopsis                      	                  1
Anabaena                          	Anabaena                        	Anabaena                        	Anabaena                          	Anabaena                          	Anabaena                          	Anabaena                        	Anabaena                          	Anabaena                          	Anabaena                          	Anabaena                          	Anabaena                          	Anabaena                          	Anabaena                          	Anabaena  circinalis              	Anabaena  circinalis              	Anabaena  circinalis              	Anabaena  circinalis              	Anabaena  circinalis              	Anabaena  circinalis              	Anabaena  circinalis              	Anabaena  circinalis              	Anabaena  circinalis              	Anabaena  circinalis              	                  0
Merismopedia                      	Merismopedia                    	Merismopedia                    	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                    	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                      	Merismopedia                      	                  1
Oscillatoria                      	Oscillatoria                    	Oscillatoria                    	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                    	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	Oscillatoria                      	                  1
Phormidium                        	Phormidium                      	Phormidium                      	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                      	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                        	Phormidium                        	                  1
Pseudoanabaena                    	Pseudoanabaena                  	Pseudoanabaena                  	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                  	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	Pseudoanabaena                    	                  1
Nodularia                         	Nodularia                       	Nodularia                       	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                       	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                         	Nodularia                         	                  1
Asterionellopsis glacialis        	Asterionellopsis glacialis      	Asterionellopsis glacialis      	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis      	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	Asterionellopsis glacialis        	                  1
Ankistrodesmus                    	Ankistrodesmus                  	Ankistrodesmus                  	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                  	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	Ankistrodesmus                    	                  1
Bacteristrum                      	Bacteristrum                    	Bacteristrum                    	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                    	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	Bacteristrum                      	                  1
Chaetoceros (single )             	Chaetoceros (single )           	Chaetoceros (single )           	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )           	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	Chaetoceros (single )             	                  1
Chaetoceros (chains )             	Chaetoceros (chains )           	Chaetoceros (chains )           	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )           	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	Chaetoceros (chains )             	                  1
Chaetoceros curvateus             	Chaetoceros curvateus           	Chaetoceros curvateus           	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus           	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	Chaetoceros curvateus             	                  1
Chaetoceros radians               	Chaetoceros radians             	Chaetoceros radians             	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians             	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	Chaetoceros radians               	                  1
Coscinodiscus                     	Coscinodiscus                   	Coscinodiscus                   	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                   	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	Coscinodiscus                     	                  1
Cyclotella   meneghiniana ? <10um 	Cyclotella                      	Cyclotella                      	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	Cyclotella   meneghiniana ? <10um 	                  0
Cyclotella/Thallasiosira          	Cylindrotheca  closterium       	Cyclotella/Thalassiosira        	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira        	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	Cyclotella/Thallasiosira          	                  0
Cylindrotheca  closterium         	                                	Cylindrotheca  closterium       	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium       	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	Cylindrotheca  closterium         	                  0
Dactyliosolen                     	Dactilyosolen                   	Dactilyosolen                   	Dactilyosolen                     	Dactilyosolen                     	Dactyliosolen                     	Cosmarium                       	Dactilyosolen                     	Dactilyosolen                     	Dactyliosolen                     	Dactilyosolen                     	Dactilyosolen                     	Dactilyosolen                     	Dactilyosolen                     	Dactilyosolen                     	Dactilyosolen                     	Dactilyosolen                     	Dactyliosolen                     	Dactyliosolen                     	Dactyliosolen                     	Dactilyosolen                     	Dactyliosolen                     	Dactilyosolen                     	Dactyliosolen                     	                  0
Guinardia                         	Guinardia                       	Guinardia                       	Guinardia                         	Guinardia                         	Guinardia                         	Dactilyosolen                   	Guinardia                         	Guinardia                         	Guinardia                         	Guinardia                         	Guinardia                         	Guinardia                         	Guinardia                         	Guinardia                         	Guinardia                         	Guinardia                         	Guinardia                         	Guinardia                         	Guinardia                         	Guinardia                         	Guinardia                         	Guinardia                         	Guinardia                         	                  0
Lioloma                           	Lioloma                         	Lioloma                         	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                         	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                           	Lioloma                           	                  1
Leptocylindrus                    	Leptocylindricus                	Leptocylindricus                	Leptocylindricus                  	Leptocylindricus                  	Leptocylindrus                    	Leptocylindricus                	Leptocylindricus                  	Leptocylindricus                  	Leptocylindrus                    	Leptocylindricus                  	Leptocylindricus                  	Leptocylindricus                  	Leptocylindricus                  	Leptocylindricus                  	Leptocylindricus                  	Leptocylindricus                  	Leptocylindricus                  	Leptocylindricus                  	Leptocylindrus                    	Leptocylindricus                  	Leptocylindrus                    	Leptocylindricus                  	Leptocylindricus                  	                  0
Melosira                          	Melosira                        	Melosira                        	Melosira                          	Melosira                          	Melosira                          	Melosira                        	Melosira                          	Melosira                          	Melosira                          	Melosira                          	Melosira                          	Melosira                          	Melosira                          	Melosira                          	Melosira                          	Melosira                          	Melosira                          	Melosira                          	Melosira                          	Melosira                          	Melosira                          	Melosira                          	Melosira                          	                  1
Odontella                         	Odontella                       	Odontella                       	Odontella                         	Odontella                         	Odontella                         	Odontella                       	Odontella                         	Odontella                         	Odontella                         	Odontella                         	Odontella                         	Odontella                         	Odontella                         	Odontella                         	Odontella                         	Odontella                         	Odontella                         	Odontella                         	Odontella                         	Odontella                         	Odontella                         	Odontella                         	Odontella                         	                  1
Pseudonitzschia                   	Pseudonitzschia                 	Pseudonitzschia                 	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                 	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	Pseudonitzschia                   	                  1
Skeletonema costatum              	Skeletonema costatum            	Skeletonema costatum            	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum            	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	Skeletonema costatum              	                  1
Rhizosolenia                      	Rhizosolenia                    	Rhizosolenia                    	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                    	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	Rhizosolenia                      	                  1
Thalassionema                     	Thalassionema                   	Thalassionema                   	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                   	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                     	Thalassionema                     	                  1
Thalassiosira                     	Thalassiosira                   	Thalassiosira                   	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                   	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	Thalassiosira                     	                  1
Triceratium                       	Triceratium                     	Triceratium                     	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                     	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                       	Triceratium                       	                  1
Amphora                           	Amphora                         	Amphora                         	Amphora                           	Amphora                           	Amphora                           	Amphora                         	Amphora                           	Amphora                           	Amphora                           	Amphora                           	Amphora                           	Amphora                           	Amphora                           	Amphora                           	Amphora                           	Amphora                           	Amphora                           	Amphora                           	Amphora                           	Amphora                           	Amphora                           	Amphora                           	Amphora                           	                  1
Bacillaria paxilifera             	Bacillaria paxilifera           	Bacillaria paxilifera           	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera           	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	Bacillaria paxilifera             	                  1
Cocconeis                         	Cocconeis                       	Cocconeis                       	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                       	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                         	Cocconeis                         	                  1
Fragilaria                        	Fragilaria                      	Fragilaria                      	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                      	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                        	Fragilaria                        	                  1
Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma           	Gyrosigma/Pleurosigma           	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma           	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	Gyrosigma/Pleurosigma             	                  1
Entomoneis                        	Entomoneis                      	Entomoneis                      	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                      	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                        	Entomoneis                        	                  1
Naviculoid (<10um)                	Navicula sp. (<10um)            	Navicula sp. (<10um)            	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)              	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	Naviculoid (<10um)                	                  0
Navicula sp (>10um))              	Naviculoid (>10um)              	Naviculoid (>10um)              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))            	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	Navicula sp (>10um))              	                  0
Nitzschia                         	Nitzschia                       	Nitzschia                       	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                       	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                         	Nitzschia                         	                  1
Pleurosigma                       	Pleurosigma                     	Pleurosigma                     	Pleurosigma                       	Pleurosigma                       	Pleurosigma                       	Pleurosigma                     	Pleurosigma                       	Pleurosigma                       	Pseusonitzschia                   	Pleurosigma                       	Pleurosigma                       	Pleurosigma                       	Pleurosigma                       	Pleurosigma                       	Pleurosigma                       	Pleurosigma                       	Pleurosigma                       	Pleurosigma                       	Pleurosigma                       	Pleurosigma                       	Pleurosigma                       	Pleurosigma                       	Pleurosigma                       	                  0
Pseusonitzschia                   	Pseusonitzschia                 	Pseusonitzschia                 	Pseusonitzschia                   	Pseusonitzschia                   	Pseusonitzschia                   	Pseusonitzschia                 	Pseusonitzschia                   	Pseusonitzschia                   	pennate diatom                    	Pseusonitzschia                   	Pseusonitzschia                   	Pseusonitzschia                   	Pseusonitzschia                   	Pseusonitzschia                   	Pseusonitzschia                   	Pseusonitzschia                   	Pseusonitzschia                   	Pseusonitzschia                   	Pseusonitzschia                   	Pseusonitzschia                   	Pseusonitzschia                   	Pseusonitzschia                   	Pseusonitzschia                   	                  0
pennate diatom                    	pennate diatom                  	pennate diatom                  	pennate diatom                    	pennate diatom                    	pennate diatom                    	pennate diatom                  	pennate diatom                    	pennate diatom                    	Synedra                           	pennate diatom                    	pennate diatom                    	pennate diatom                    	pennate diatom                    	pennate diatom                    	pennate diatom                    	pennate diatom                    	pennate diatom                    	pennate diatom                    	pennate diatom                    	pennate diatom                    	pennate diatom                    	pennate diatom                    	pennate diatom                    	                  0
Synedra                           	Synedra                         	Synedra                         	Synedra                           	Synedra                           	Synedra                           	Synedra                         	Synedra                           	Synedra                           	others                            	Synedra                           	Synedra                           	Synedra                           	Synedra                           	Synedra                           	Synedra                           	Synedra                           	Synedra                           	Synedra                           	Synedra                           	Synedra                           	Synedra                           	Synedra                           	Synedra                           	                  0
Akashiwo sanguinea                	Akashiwo sanguineum             	Akashiwo sanguineum             	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea              	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	Akashiwo sanguinea                	                  0
Alexandrium                       	Alexandrium                     	Alexandrium                     	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                     	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                       	Alexandrium                       	                  1
Ceratium furca                    	Ceratium furca                  	Ceratium furca                  	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                  	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	Ceratium furca                    	                  1
Dinophysis acuminata              	Dinophysis acuminata            	Dinophysis acuminata            	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata            	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	Dinophysis acuminata              	                  1
Dinophysis caudata                	Dinophysis caudata              	Dinophysis caudata              	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata              	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	Dinophysis caudata                	                  1
