fid,OBJECTID,SITE_ID,DEFAULT_SI,DEFAULT__1,DEFAULT__2,OTHER_SITE,AWRC_REF,AQWAB_REF,BOM_REF,TEXT_REF,WIN_SITE_I,SITE_TYPE_,SITE_TYPE,SITE_SUBTY,SITE_SUB_1,SITE_GEO_F,SITE_GEO_1,SITE_CATEG,SITE_CAT_1,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID,POSITION_A,CATCH_AREA,SITE_OWNER,OWN_DATA,DEPARTMENT,CURRENTLY_,CURRENTL_1,PUBLISH_EX,INFRA_OWNE,OWN_ASSET,COMMENCE,CEASE,INFRA_COMM,INFRA_CEAS,INFRA_STAT,STATUS_CUR,DISCRETE_S,DISCRETE_E,DISCRETE_F,DISCRETE_L,TS_START,TS_END,TS_FIRST_A,TS_LAST_AV,TS_DATA_MA,TS_DATA__1,DATA_CATEG,VARIABLE_T,PROJECTS,ROUTES,PUB_URL,SITE_DOCS_,SITE_DOC_1,WRL_DRAWPO,WRL_LICENS,TOT_CONSTR,DRILLED_DE,DATE_DRILL,AHD_DATUM,AQUIFERS,AQUIFERS_R,BORE_INLET,CONSTRUCTI,GEOPHYSICA,SUMMARY_LO,LITHOLOGY_,WATER_SUPP,WATER_LEVE,TDS_COND,CATCHMENT,CATCHMENT_,DEPARTME_1,DEPARTME_2,ESTUARY,ESTUARY_ID,GEOGRAPHIC,GEOGRAPH_1,GROUNDWATE,GROUNDWA_1,GROUNDWA_2,GROUNDWA_3,GROUNDWA_4,GROUNDWA_5,LOCAL_GOVT,LOCAL_GO_1,LOCALITY,LOCALITY_I,RAINFALL_D,RAINFALL_1,BASIN,RIVER_BASI,RIVER_BA_1,MAP_SHEET_,MAP_SHEE_1,MINING_TEN,MINING_T_1,SURFACEWAT,SURFACEW_1,SURFACEW_2,SURFACEW_3,DATECREATE,TIMECREATE,USERCREATE,DATEMOD,TIMEMOD,USERMOD,SITE_COMME,DEFAULT__3,PURPOSE_CU,PURPOSE_HI,OTHER_SI_1,DISCRETE_1,STATUS_HIS,TIMEDATE,STAGELAST,STAGEPREVI,TENDENCY
48494,"55436","61403480","61403480",Naval Base Mud Lake - Kw7D (Plant Site),Kw7D (Plant Site),"20022554 [WIN_ID]; 2033-1-SW-0610 [AQWAB]; 61403480 [SITE_REF]","61403480",2033-1-SW-0610,,,"20022554",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,275788800000.000000000000000,275788800000.000000000000000,28/09/1978,28/09/1978,,,,,(),None,"BOREH; DISCWL; LITH; PROJINF; SITEINF; STRAT",Water level (discrete),WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61403480/61403480.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403480,His,,,"34","34",15/07/1978,,,,"20.000 to 34.000 mbGL, type: slotted",Yes,No,Yes,Yes,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,"152mm hole.  Elevation originally recorded as:  rl 6.905 t/c.  Depth: 7-8, micro/cm: 2170, temp: 24; 9-11, 2150, 24; 12-13, 2120, 24; 14, 2100, 23.5; 15, 2100, 23; 16, 2100, 22.5; 17, 2070, 22; 18, 2050, 22; 19, 2030, 21.5; 20-21, 2030, 21.5; 22, 2100, 2",AWRC,,,Naval Base Mud Lake - Kw7D (Plant Site),275788800000.000000000000000,Unknown,,,,
48495,"55437","61403481","61403481",Naval Base Mud Lake - Kw8S (Plant Site),Kw8S (Plant Site),"20022555 [WIN_ID]; 2033-1-SW-0611 [AQWAB]; 61403481 [SITE_REF]","61403481",2033-1-SW-0611,,,"20022555",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,263606400000.000000000000000,275788800000.000000000000000,10/05/1978,28/09/1978,,,,,(),None,"BOREH; DISCWL; LITH; PROJINF; SITEINF; STRAT",Water level (discrete),WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61403481/61403481.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403481,His,,,"16.3","34.5",15/04/1978,,,,"7.800 to 16.300 mbGL, type: slotted",Yes,No,Yes,Yes,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,"152mm hole.  Bore backfilled to 16.3m.  Plug installed.  Elevation originally recorded as;  rl 7.71.  Depth: 8m, micro/km 10/5/78:5000, 28/9/78:1950, temp 10/5/78: 21, 28/9/70: 21; (respectively) 9m, 5000, 2800, 20.5, 21; 10m, 4750, 9000, 20.5, 21; 11m,",AWRC,,,Naval Base Mud Lake - Kw8S (Plant Site),275788800000.000000000000000,Unknown,,,,
48496,"55438","61403482","61403482",Naval Base Mud Lake - Kw8D (Plans Site),Kw8D (Plans Site),"20022556 [WIN_ID]; 2033-1-SW-0612 [AQWAB]; 61403482 [SITE_REF]","61403482",2033-1-SW-0612,,,"20022556",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,269136000000.000000000000000,269136000000.000000000000000,13/07/1978,13/07/1978,,,,,(),None,"BOREH; DISCWL; LITH; PROJINF; SITEINF; STRAT",Water level (discrete),WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61403482/61403482.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403482,His,,,"30","34",15/06/1978,,,,"20.000 to 30.000 mbGL, type: slotted",Yes,No,Yes,Yes,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,"152mm hole.  Elevation originally recorded as:  rl 7.565 t/c.  Depth: 7m, micro/cm: 5000, temp: 21;( respectively ) 8m, 10000, 21; 9m-11m, 10000, 20.5; 12m-13m, 10000, 20;; 14m-15m, 9750, 20; 16m-17m, 9500, 20; 18m-23m, 9000, 20; 24m, 18000, 20; 25m, 310",AWRC,,,Naval Base Mud Lake - Kw8D (Plans Site),269136000000.000000000000000,Unknown,,,,
48497,"55439","61403483","61403483",Naval Base Mud Lake - Kw9S (Plant Site),Kw9S (Plant Site),"20022557 [WIN_ID]; 2033-1-SW-0613 [AQWAB]; 61403483 [SITE_REF]","61403483",2033-1-SW-0613,,,"20022557",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,263606400000.000000000000000,275788800000.000000000000000,10/05/1978,28/09/1978,,,,,(),None,"BOREH; DISCWL; LITH; PROJINF; SITEINF; STRAT",Water level (discrete),WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61403483/61403483.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403483,His,,,"17","34",15/04/1978,,,,"6.000 to 17.000 mbGL, type: slotted",Yes,No,Yes,Yes,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,"152mm hole.  Backfilled to 16.4m and installed cement plug.  Elevation originally recorded as:  rl 6.92 t/c.  Depth: 7m, micro/cm 10/5/78: 2000, 28/9/78: 1900, temp 10/5/78: 24.5, 28/9/78: 22.5;(respectively) 8m, 2500, 2100, 24, 22.5; 9m, 2500, 2300, 23.",AWRC,,,Naval Base Mud Lake - Kw9S (Plant Site),275788800000.000000000000000,Unknown,,,,
48498,"55440","61403484","61403484",Naval Base Mud Lake - Kw9D (Plant Site),Kw9D (Plant Site),"20022558 [WIN_ID]; 2033-1-SW-0614 [AQWAB]; 61403484 [SITE_REF]","61403484",2033-1-SW-0614,,,"20022558",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,275788800000.000000000000000,275788800000.000000000000000,28/09/1978,28/09/1978,,,,,(),None,"BOREH; DISCWL; LITH; PROJINF; SITEINF; STRAT",Water level (discrete),WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61403484/61403484.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403484,His,,,"34","34",15/07/1978,,,,"20.000 to 34.000 mbGL, type: slotted",Yes,No,Yes,Yes,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,"Drilled: July/aug 1978.  Hole 152mm.  Elevation originally recorded as:  rl 6.935 t/c.  Depth: 7, micro/cm: 3300, temp: 23; respectively 8, 3300, 22.5; 9-15, 3300, 22; 16, 3290, 21; 17-21, 3250, 21; 22, 7000, 21; 24, 2000, 20.5; 25, 26000, 20; 26, 36500,",AWRC,,,Naval Base Mud Lake - Kw9D (Plant Site),275788800000.000000000000000,Unknown,,,,
48499,"55441","61403485","61403485",Naval Base Mud Lake - Kw10 (Plant Site),Kw10 (Plant Site),"20022559 [WIN_ID]; 2033-1-SW-0615 [AQWAB]; 61403485 [SITE_REF]","61403485",2033-1-SW-0615,,,"20022559",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,256521600000.000000000000000,256521600000.000000000000000,17/02/1978,17/02/1978,,,,,(),None,"BOREH; DISCWL; PROJINF; SITEINF",Water level (discrete),WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61403485/61403485.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403485,His,,,"43","43",15/02/1978,,,,"17.000 to 43.000 mbGL, type: slotted",Yes,No,No,No,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,"152mm hole.  No gravel pack.  Elevation originally recorded as:  rl 12.99 t/c.  No log description.  Depth: 13m, micro/cm: 1100, temp: 23.5;(respectively) 14m-15m, 1100, 22; 16m, 1100, 21; 17m-18m, 1075, 21; 19m, 1075, 20.5; 20m-22m, 1080, 20; 23m-24m, 1",AWRC,,,Naval Base Mud Lake - Kw10 (Plant Site),256521600000.000000000000000,Unknown,,,,
48500,"55442","61403486","61403486",Murray River Catchment 614 - Kw11 Mud Lake,Kw11 Mud Lake,"20022560 [WIN_ID]; 2033-1-SW-0616 [AQWAB]; 61403486 [SITE_REF]","61403486",2033-1-SW-0616,,,"20022560",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,284601600000.000000000000000,284601600000.000000000000000,08/01/1979,08/01/1979,,,,,(),None,"BOREH; DISCWL; LITH; PROJINF; SITEINF; STRAT",Water level (discrete),WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61403486/61403486.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403486,His,,,"15","15",08/01/1979,,,,"5.000 to 15.000 mbGL, type: slotted",Yes,No,Yes,Yes,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,Developed 3 hours.,AWRC,,,Murray River Catchment 614 - Kw11 Mud Lake,284601600000.000000000000000,Unknown,,,,
48501,"55443","61403487","61403487",Murray River Catchment 614 - Kw12 Mud Lake,Kw12 Mud Lake,"20022561 [WIN_ID]; 2033-1-SW-0617 [AQWAB]; 61403487 [SITE_REF]","61403487",2033-1-SW-0617,,,"20022561",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,284947200000.000000000000000,284947200000.000000000000000,12/01/1979,12/01/1979,,,,,(),None,"BOREH; DISCWL; LITH; PROJINF; SITEINF; STRAT",Water level (discrete),WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61403487/61403487.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403487,His,,,"14.52","15",12/01/1979,,,,"4.520 to 14.520 mbGL, type: slotted",Yes,No,Yes,Yes,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,3 hours developing.,AWRC,,,Murray River Catchment 614 - Kw12 Mud Lake,284947200000.000000000000000,Unknown,,,,
48502,"55444","61403488","61403488",Murray River Catchment 614 - Kw 13 Mud Lake,Kw 13 Mud Lake,"20022562 [WIN_ID]; 2033-1-SW-0618 [AQWAB]; 61403488 [SITE_REF]","61403488",2033-1-SW-0618,,,"20022562",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,285292800000.000000000000000,285292800000.000000000000000,16/01/1979,16/01/1979,,,,,(),None,"BOREH; DISCWL; LITH; PROJINF; SITEINF; STRAT",Water level (discrete),WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61403488/61403488.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403488,His,,,"16","16",16/01/1979,,,,"6.000 to 16.000 mbGL, type: slotted",Yes,No,Yes,Yes,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,3 hours developing.,AWRC,,,Murray River Catchment 614 - Kw 13 Mud Lake,285292800000.000000000000000,Unknown,,,,
48503,"55445","61403489","61403489",Murray River Catchment 614 - Kw 14 Mud Lake,Kw 14 Mud Lake,"20022563 [WIN_ID]; 2033-1-SW-0619 [AQWAB]; 61403489 [SITE_REF]","61403489",2033-1-SW-0619,,,"20022563",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,319420799999.999938964843750,319420799999.999938964843750,15/02/1980,15/02/1980,,,,,(),None,"BOREH; DISCWL; LITH; PROJINF; SITEINF; STRAT",Water level (discrete),WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61403489/61403489.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403489,His,,,"18","18",15/02/1980,,,,"6.000 to 18.000 mbGL, type: slotted",Yes,No,Yes,Yes,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,,AWRC,,,Murray River Catchment 614 - Kw 14 Mud Lake,319420799999.999938964843750,Unknown,,,,
48504,"55446","61403490","61403490",Murray River Catchment 614 - Kw 15 Mud Lake,Kw 15 Mud Lake,"20022564 [WIN_ID]; 2033-1-SW-0620 [AQWAB]; 61403490 [SITE_REF]","61403490",2033-1-SW-0620,,,"20022564",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,319420799999.999938964843750,319420799999.999938964843750,15/02/1980,15/02/1980,,,,,(),None,"BOREH; DISCWL; LITH; PROJINF; SITEINF; STRAT",Water level (discrete),WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61403490/61403490.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403490,His,,,"18","18",15/02/1980,,,,"6.000 to 18.000 mbGL, type: slotted",Yes,No,Yes,Yes,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,,AWRC,,,Murray River Catchment 614 - Kw 15 Mud Lake,319420799999.999938964843750,Unknown,,,,
48505,"55447","61403491","61403491",Murray River Catchment 614 - Kw 16 Mud Lake,Kw 16 Mud Lake,"20022565 [WIN_ID]; 2033-1-SW-0621 [AQWAB]; 61403491 [SITE_REF]","61403491",2033-1-SW-0621,,,"20022565",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,319420799999.999938964843750,319420799999.999938964843750,15/02/1980,15/02/1980,,,,,(),None,"BOREH; DISCWL; LITH; PROJINF; SITEINF; STRAT",Water level (discrete),WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61403491/61403491.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403491,His,,,"17","17",15/02/1980,,,,"6.000 to 17.000 mbGL, type: slotted",Yes,No,Yes,Yes,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,,AWRC,,,Murray River Catchment 614 - Kw 16 Mud Lake,319420799999.999938964843750,Unknown,,,,
48506,"55448","61403492","61403492",Murray River Catchment 614 - Kw 17 Mud Lake,Kw 17 Mud Lake,"20022566 [WIN_ID]; 2033-1-SW-0622 [AQWAB]; 61403492 [SITE_REF]","61403492",2033-1-SW-0622,,,"20022566",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,319420799999.999938964843750,319420799999.999938964843750,15/02/1980,15/02/1980,,,,,(),None,"BOREH; DISCWL; LITH; PROJINF; SITEINF; STRAT",Water level (discrete),WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61403492/61403492.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403492,His,,,"18","18",15/02/1980,,,,"6.000 to 18.000 mbGL, type: slotted",Yes,No,Yes,Yes,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,,AWRC,,,Murray River Catchment 614 - Kw 17 Mud Lake,319420799999.999938964843750,Unknown,,,,
48507,"55449","61403493","61403493",Murray River Catchment 614 - 35 F I Prod,35 F I Prod,"20022567 [WIN_ID]; 2033-1-SW-0623 [AQWAB]; 61403493 [SITE_REF]","61403493",2033-1-SW-0623,,,"20022567",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,,,,,,,,,(),None,"BOREH; LITH; PROJINF; SITEINF; STRAT",,WA-G-UNKNOWN,,,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403493,His,,,"15","15",15/04/1979,,,,"10.300 to 15.000 mbGL, type: screen",Yes,No,Yes,Yes,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,Developed 11 hours mechanical surging. Airlifted 4 hours. Supply not recorded.,AWRC,,,Murray River Catchment 614 - 35 F I Prod,,Unknown,,,,
48508,"55450","61403494","61403494",Murray River Catchment 614 - Bgl 36,Bgl 36,"20022568 [WIN_ID]; 2033-1-SW-0624 [AQWAB]; 61403494 [SITE_REF]","61403494",2033-1-SW-0624,,,"20022568",GROUND,Groundwater,BOREW,Bore or Well,GROUND,Ground,GROUND,Groundwater,"50",384643.000000000058208,6437792.000000000000000,-32.190502469999998,115.776216410000004,GDA94,Unknown,,OWN_IND,Industry/Mining,No,No,No,Yes,NON,None or unknown,,,,,UNK,Unknown,285206400000.000000000000000,285206400000.000000000000000,15/01/1979,15/01/1979,,,,,(),None,"BOREH; DISCWL; LITH; PROJINF; SITEINF; STRAT",Water level (discrete),WA-G-PRE1996AQWADATA,,https://kumina.water.wa.gov.au/waterinformation/WIR/Reports/Publish/61403494/61403494.htm,https://apps.water.local/waterinformation/doclist/docdir.cfm?station=61403494,His,,,"15","15",15/01/1979,,,,"11.000 to 15.000 mbGL, type: screen",Yes,No,Yes,Yes,,,,_Coastal,"226",Kwinana-Peel,,,,,,Perth,PERT39D2,Cockburn,COCKE970,Valley,VALL688F,CITY OF KWINANA,"4244734",NAVAL BASE,,9 - Central Coast,"9",614 - Murray River,614 - Murray River,"614",SH5014,,,,Cockburn/Kwinana Coastal,COCK9670,Cockburn/Kwinana Coastal,COCK6A5A,394243200000.000000000000000,"0",ADMINGOB,1528243200000.000000000000000,"1008",SVR,,AWRC,,,Murray River Catchment 614 - Bgl 36,285206400000.000000000000000,Unknown,,,,
